date,temp_c,humidity
2026-01-01,3,78
2026-01-02,1,82
2026-01-03,-2,85
2026-01-04,0,80
2026-01-05,4,72
2026-01-06,6,68
2026-01-07,5,71
2026-01-08,2,77
2026-01-09,-1,88
2026-01-10,1,83
2026-01-11,3,76
2026-01-12,7,65
2026-01-13,9,60
2026-01-14,11,55
2026-01-15,8,62
2026-01-16,6,70
2026-01-17,4,75
2026-01-18,3,79
2026-01-19,5,73
2026-01-20,8,66
2026-01-21,12,58
2026-01-22,14,52
2026-01-23,10,61
2026-01-24,7,69
2026-01-25,5,74
2026-01-26,3,80
2026-01-27,6,71
2026-01-28,9,64
2026-01-29,11,57
2026-01-30,13,53
