date,temp_c,humidity
2026-04-01,14,58
2026-04-02,15,55
2026-04-03,13,62
2026-04-04,16,50
2026-04-05,18,48
2026-04-06,17,52
2026-04-07,19,45
2026-04-08,20,42
2026-04-09,18,50
2026-04-10,16,55
2026-04-11,15,60
2026-04-12,17,53
2026-04-13,19,47
2026-04-14,21,40
2026-04-15,22,38
2026-04-16,20,44
2026-04-17,18,51
2026-04-18,17,54
2026-04-19,19,48
2026-04-20,21,42
2026-04-21,23,36
2026-04-22,22,39
2026-04-23,20,45
2026-04-24,18,50
2026-04-25,19,47
2026-04-26,21,41
2026-04-27,23,35
2026-04-28,24,33
2026-04-29,22,38
2026-04-30,20,43
